model,precision,recall,mAP50,mAP50-95
yolov8s.pt,0.8701714225795811,0.9202654348526554,0.9469403013347323,0.7193132380369528
yolov8x.pt,0.8415698576457943,0.9499497802050932,0.9773658192090395,0.7788084611245627
yolo11s.pt,0.934554780051856,0.7865577315662563,0.9353790271198648,0.7469595906029659
yolo11x.pt,0.9091142535375609,0.9516375575487221,0.9775,0.8467927188552188
